trials_example.thisRepN,trials_example.thisTrialN,trials_example.thisN,trials_example.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_study.thisRepN,trials_study.thisTrialN,trials_study.thisN,trials_study.thisIndex,text_welcome.started,text_welcome.stopped,text_intro.started,text_intro.stopped,key_resp_intro.keys,key_resp_intro.started,key_resp_intro.stopped,text_intro2.started,text_intro2.stopped,key_resp_intro2.keys,key_resp_intro2.rt,key_resp_intro2.started,key_resp_intro2.stopped,example trial,personPrimeExample,genderPrimeExample,primeExample,emotionPrimeExample,corrAnsPrimeExample,example mask time,fix300_example.started,fix300_example.stopped,image_primer_example.started,image_primer_example.stopped,scrambled.started,scrambled.stopped,text_response_example.started,text_response_example.stopped,key_resp_example.keys,key_resp_example.corr,key_resp_example.rt,key_resp_example.rt in ms,key_resp_example.started,key_resp_example.stopped,Jitter_example.started,Jitter_example.stopped,text_start.started,text_start.stopped,text_pause.started,text_pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.rt in ms,key_resp_pause.started,key_resp_pause.stopped,study trial,personPrimeStudy,genderPrimeStudy,primeStudy,emotionPrimeStudy,corrAnsPrimeStudy,study mask time,Block,fix300_study.started,fix300_study.stopped,image_primer_study.started,image_primer_study.stopped,scrambled_study.started,scrambled_study.stopped,text_response_study.started,text_response_study.stopped,key_resp_study.keys,key_resp_study.corr,key_resp_study.rt,key_resp_study.rt in ms,key_resp_study.started,key_resp_study.stopped,Jitter_study.started,Jitter_study.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,53.879478600000084,54.1789521800001,54.38905369999998,54.556332180000005,54.56113410000012,54.60214257999994,54.6066029000001,55.05575337999992,d,1,0.43851889999996274,438.51889999996274,54.6066029000001,55.05575337999992,55.06226979999997,56.50412518000005,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,56.50828739999997,56.804005380000014,57.03233690000002,57.05892977999995,57.06253319999996,57.10016597999991,57.10468200000014,58.37841647999992,a,1,1.2603423000000475,1260.3423000000475,57.10468200000014,58.37841647999992,58.38607380000008,60.36240938000012,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,60.36660329999995,60.66245797999998,60.86154940000006,60.88732638000008,60.88766880000003,60.92231437999997,60.92353419999995,62.44453737999991,s,0,1.505716300000131,1505.716300000131,60.92353419999995,62.44453737999991,62.45703070000013,64.23760407999995,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.0,m,027_o_m_n_a.jpg,neutral,s,3,1,64.24315019999995,64.53762658000002,64.7573655000001,64.78412788000011,64.78489170000012,64.82200267999994,64.82353690000014,65.44476888000005,s,1,0.6056467000000794,605.6467000000794,64.82353690000014,65.44476888000005,65.45418369999993,67.39590317999998,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.0,f,019_m_f_n_a.jpg,neutral,s,3,1,67.39894430000004,67.69586788000012,67.95206129999997,67.97933697999994,67.98424210000007,68.02448707999994,68.02946450000013,68.9562453799999,s,1,0.9116036000000349,911.6036000000349,68.02946450000013,68.9562453799999,68.96025510000004,70.28761598000003,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,m,027_o_m_h_a.jpg,happy,d,3,1,70.29079960000013,70.5874455800001,70.79808789999993,70.82512597999991,70.82600279999997,70.86380688000006,70.86381929999993,71.53026737999991,d,1,0.6534552000000531,653.4552000000531,70.86381929999993,71.53026737999991,71.5392796000001,73.3626959800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,73.36554320000005,73.66268327999998,73.90339470000004,74.06034657999996,74.06520169999999,74.10615468000012,74.11123889999999,74.58032597999997,s,1,0.46196340000005875,461.96340000005875,74.11123889999999,74.58032597999997,74.59205939999993,76.16286388,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.0,f,030_o_f_h_a.jpg,happy,d,17,1,76.16815420000012,76.46273238,76.6648173000001,76.82471817999996,76.82803009999998,76.86530388000003,76.86939789999997,77.3355816800001,d,1,0.45583289999990484,455.83289999990484,76.86939789999997,77.3355816800001,77.34698419999995,79.21283398000011,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.0,m,013_y_m_s_a.jpg,sad,a,3,1,79.21613490000004,79.51282188000002,79.61197590000006,79.63452998,79.63513760000001,79.67218857999998,79.67235290000008,80.30814368000003,a,1,0.6289824999998928,628.9824999998928,79.67235290000008,80.30814368000003,80.31895520000012,81.78791778000002,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,81.79204750000008,82.08783968000009,82.42449910000005,82.45064887999999,82.45069330000001,82.48542668000002,82.48497810000003,83.60485867999998,s,1,1.111972700000024,1111.972700000024,82.48497810000003,83.60485867999998,83.61226160000001,85.38789328000004,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.0,f,040_y_f_h_a.jpg,happy,d,3,1,85.39213889999996,85.68796238000002,85.7148115,85.73761858000009,85.73820939999996,85.77438268000012,85.77478859999997,86.33426987999994,d,1,0.5423647000000074,542.3647000000074,85.77478859999997,86.33426987999994,86.3447592,87.65469668000011,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,f,012_o_f_h_a.jpg,happy,d,3,1,87.6576751,87.95469827999997,87.98318100000006,88.00588467999998,88.00741620000008,88.04363067999995,88.04335379999998,88.58971427999992,d,1,0.5376596999999492,537.6596999999492,88.04335379999998,88.58971427999992,88.59610029999999,90.14636298000002,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.0,f,021_o_f_n_a.jpg,neutral,s,17,1,90.15206899999998,90.44646867999992,90.67879010000001,90.84026917999992,90.84392230000003,90.88373348000002,90.8881801,91.3582303800001,s,1,0.46092380000004596,460.92380000004596,90.8881801,91.3582303800001,91.37092869999992,93.32139847999994,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10.0,f,028_y_f_s_a.jpg,sad,a,17,1,93.32543329999999,93.62146088000006,93.64315979999992,93.78144388000007,93.78508579999993,93.8226314799999,93.82547939999995,94.86462498000012,a,1,1.0274880999998004,1027.4880999998004,93.82547939999995,94.86462498000012,94.87092140000004,96.33822428000005,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10.0,f,028_y_f_h_a.jpg,happy,d,3,1,96.34229099999993,96.63822277999995,96.66459120000013,96.68725598000012,96.68816319999996,96.7227651800001,96.72268660000009,97.50773187999991,d,1,0.7705222000001868,770.5222000001868,96.72268660000009,97.50773187999991,97.51516970000011,99.12984198000001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,99.13287489999993,99.42985868000002,99.69570850000014,99.7215782800001,99.72246719999998,99.75688977999991,99.7569168,100.46849857999993,d,1,0.704128800000035,704.128800000035,99.7569168,100.46849857999993,100.47050170000011,101.83815118000004,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.0,m,033_o_m_h_a.jpg,happy,d,3,1,101.84124580000002,102.13824638000003,102.16465570000014,102.18738978000007,102.18801970000004,102.22374158,102.22513849999996,102.74024327999993,d,1,0.5079464000000371,507.9464000000371,102.22513849999996,102.74024327999993,102.74778579999997,103.98835428000004,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.0,m,004_o_m_h_a.jpg,happy,d,3,1,103.99349490000009,104.28828808,104.50610430000006,104.53209037999997,104.53242539999997,104.56682088,104.56718769999998,105.06151967999992,d,1,0.48631589999990865,486.31589999990865,104.56718769999998,105.06151967999992,105.07326089999992,106.93832797999991,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.0,m,008_y_m_s_a.jpg,sad,a,3,1,106.9436604,107.23839468000003,107.46753890000014,107.49383078000002,107.49414580000007,107.53126818000007,107.53130650000003,108.11733247999993,a,1,0.5776611999999659,577.6611999999659,107.53130650000003,108.11733247999993,108.12474799999995,109.94681648000002,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.0,m,016_y_m_s_a.jpg,sad,a,3,1,109.95101739999996,110.24681998000003,110.27779850000002,110.30034227999997,110.30125850000013,110.33960818000011,110.33971150000002,110.96891707999995,a,1,0.6172669999998561,617.2669999998561,110.33971150000002,110.96891707999995,110.97642790000009,112.82180338000009,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,112.82784360000005,113.12190178000012,113.14963719999992,113.17229887999994,113.17263079999998,113.20697328000003,113.20658780000008,113.8664338799999,d,1,0.6464114000000336,646.4114000000336,113.20658780000008,113.8664338799999,113.87436920000005,115.73028857999995,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8.0,f,019_m_f_h_a.jpg,happy,d,17,1,115.73656699999992,116.03029738000006,116.05445290000011,116.19045378000007,116.19416550000005,116.2356976799999,116.239691,116.58781478000012,d,1,0.33342439999978524,333.42439999978524,116.239691,116.58781478000012,116.59937930000001,117.99688108000007,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,118.00224240000011,118.29697678,118.55984239999998,118.71783997999998,118.72268080000003,118.76362687999992,118.76866310000014,119.47414137999996,s,1,0.6922349999999824,692.2349999999824,118.76866310000014,119.47414137999996,119.48241159999998,121.12194087999998,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.0,m,016_y_m_h_a.jpg,happy,d,17,1,121.12592310000014,121.42193917999995,121.44736069999999,121.58175647999994,121.58245590000001,121.62379897999992,121.62415269999997,122.14681248000008,d,1,0.5087929999999687,508.79299999996874,121.62415269999997,122.14681248000008,122.14877750000005,123.9886696799999,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8.0,f,019_m_f_h_a.jpg,happy,d,3,1,123.9914698,124.28873397999993,124.31123709999997,124.33404678000008,124.33503969999992,124.3732993799999,124.3731835000001,124.92434808000004,d,1,0.5359246000000439,535.9246000000439,124.3731835000001,124.92434808000004,124.9308661,126.63879298000003,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8.0,f,019_m_f_s_a.jpg,sad,a,17,1,126.64202169999999,126.93871708000003,127.18771229999993,127.35785608000012,127.36307690000012,127.40330528000001,127.40830770000002,127.86792697999996,a,1,0.4448678999999629,444.8678999999629,127.40830770000002,127.86792697999996,127.87897590000011,129.1054254800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10.0,f,028_y_f_n_a.jpg,neutral,s,17,1,129.1093562000001,129.40549288000008,129.61660849999998,129.78276077999996,129.78707899999995,129.82780438000006,129.83303,130.3730797800001,s,1,0.5240284999999858,524.0284999999858,129.83303,130.3730797800001,130.3844153,132.06378928,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12.0,f,040_y_f_n_a.jpg,neutral,s,3,1,132.06675100000007,132.36379557999996,132.58012559999997,132.60571888,132.6063133,132.64040248000012,132.64063570000008,133.34159608000002,s,1,0.6925760000001446,692.5760000001446,132.64063570000008,133.34159608000002,133.35445460000005,135.31396498,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,5.0,m,027_o_m_n_a.jpg,neutral,s,17,1,135.31835060000003,135.61392178000003,135.82420879999995,135.99279238000005,135.9961148,136.03718778000004,136.04206780000004,136.51108928000005,s,1,0.45884909999995216,458.84909999995216,136.04206780000004,136.51108928000005,136.51434440000003,137.54728558000008,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8.0,f,019_m_f_n_a.jpg,neutral,s,17,1,137.55247959999997,137.84731578000012,138.0950524,138.25513027999997,138.25991799999997,138.30120708,138.3063178,138.73335638,s,1,0.4187021000000186,418.7021000000186,138.3063178,138.73335638,138.74166910000008,140.58902637999992,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4.0,m,016_y_m_n_a.jpg,neutral,s,17,1,140.59418110000001,140.88911327999992,141.13456380000002,141.29794497999998,141.30269199999998,141.34126117999992,141.3465638,141.72468217999992,s,1,0.36263209999992796,362.63209999992796,141.3465638,141.72468217999992,141.73523920000002,143.0306912799999,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11.0,f,030_o_f_n_a.jpg,neutral,s,3,1,143.03482039999994,143.3306210800001,143.52632280000012,143.55299398000008,143.5529716000001,143.59022537999996,143.59004299999992,144.34979988000006,s,1,0.7430798000000323,743.0798000000323,143.59004299999992,144.34979988000006,144.35630489999994,145.69735177999993,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9.0,f,021_o_f_h_a.jpg,happy,d,3,1,145.70021889999998,145.99742328,146.21135299999992,146.23760908000006,146.23791610000012,146.27365217999997,146.27511589999995,146.92241497999996,d,1,0.6338407000000643,633.8407000000643,146.27511589999995,146.92241497999996,146.92901770000003,148.1558594800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,11.0,f,030_o_f_s_a.jpg,sad,a,3,1,148.1597746,148.45582568000006,148.66076629999998,148.68675968,148.68695939999998,148.72377378000007,148.72378019999996,149.81395388000007,a,1,1.0812794999999369,1081.279499999937,148.72378019999996,149.81395388000007,149.82056779999994,151.15586327999992,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,12.0,f,040_y_f_n_a.jpg,neutral,s,17,1,151.1589097000001,151.45584438000012,151.66563999999994,151.82361018000003,151.8283695,151.86945508000005,151.87437339999997,152.48189047999992,s,1,0.5947654000001421,594.7654000001421,151.87437339999997,152.48189047999992,152.4872256000001,154.29769918000008,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,9.0,f,021_o_f_s_a.jpg,sad,a,17,1,154.30343670000002,154.59769047999995,154.6282655,154.76590617999997,154.76895190000005,154.80718567999995,154.81128919999992,155.67580128000006,a,1,0.8495442999999341,849.5442999999341,154.81128919999992,155.67580128000006,155.68007869999997,157.23103338000007,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
,,,,0,0,0,0,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4.0,m,016_y_m_n_a.jpg,neutral,s,3,1,157.2351066000001,157.53109708000008,157.7772708,157.8029309799999,157.80327030000012,157.84054377999993,157.84101110000006,158.3823437799999,s,1,0.5319455999999718,531.9455999999718,157.84101110000006,158.3823437799999,158.38981489999992,159.9894231800001,,,EmoCon002,2020_Dec_09_1707,EmoCon_Pilot_120Hz,2020.2.4,120.10006737610905,
